user_id,top_game,genre,hours_played
76561198044916562,Terraria,Survival / Horror,1343.0
76561198859612113,Counter-Strike 2,Shooter,2394.7
76561198050761296,Team Fortress 2,Shooter,2231.0
76561198497822936,Path of Exile 2,RPG,532.4
76561199070653473,ROUNDS,Hardcore Action,405.0
76561198033160081,Rocket League,Sports & Racing,481.9
76561197961627914,Fallout 76,Action / Adventure,506.0
76561198042202404,Hades II,Hardcore Action,190.8
76561198148182981,Movavi Video Editor Plus,Utility / Software,288.1
76561198137437972,Wallpaper Engine,Utility / Software,888.3
76561198067443928,Wallpaper Engine,Utility / Software,1360.9
76561198762566221,コイカツ / Koikatsu Party,Action / Adventure,6.1
76561198853522935,Wallpaper Engine,Utility / Software,157.3
76561198817324904,STEINS;GATE 0,Casual / Arcade,46.1
76561198405690725,Dead by Daylight,Survival / Horror,643.1
76561198034117438,Dota 2,Strategy & MOBA,2627.0
76561199242521591,Battlefield™ 2042,Shooter,110.7
76561198347061215,Tom Clancy's Rainbow Six® Siege X,Shooter,581.9
76561198360339773,Tom Clancy's Rainbow Six® Siege X,Shooter,634.4
76561198044517930,FINAL FANTASY XIV Online,MMORPG,2039.3
76561198160700469,Terraria,Survival / Horror,430.2
76561198055217507,FINAL FANTASY XIV Online,MMORPG,4990.2
76561198843172557,Counter-Strike 2,Shooter,1353.3
76561198146535730,Factorio,Simulation,4582.8
76561199003722102,Left 4 Dead 2,Survival / Horror,927.6
76561199528226709,"Monster Girl 1,000",Action / Adventure,120.5
76561198141102472,Grand Theft Auto V Legacy,Action / Adventure,1194.9
76561199571649966,Grand Theft Auto V Legacy,Action / Adventure,720.1
76561199564556957,Baldur's Gate 3,RPG,937.7
76561198877824116,Hotline Miami 2: Wrong Number,Shooter,130.6
76561197974329691,Stellaris,Strategy & MOBA,7320.2
76561199654699363,Counter-Strike 2,Shooter,81.0
76561198208593469,Rocket League,Sports & Racing,1491.8
76561198043874200,Halo: The Master Chief Collection,Shooter,960.7
76561198085551904,Dead by Daylight,Survival / Horror,221.9
76561199086324923,Wallpaper Engine,Utility / Software,315.0
76561198142110818,Unturned,Survival / Horror,399.7
76561198360488911,Hearts of Iron IV,Strategy & MOBA,1517.1
76561197998651266,Counter-Strike 2,Shooter,4647.1
76561198045779106,Tabletop Simulator,Simulation,1199.0
76561199078354673,FOR HONOR,Hardcore Action,71.3
76561198166168213,Borderlands 2,Shooter,1408.5
76561198399342801,Counter-Strike 2,Shooter,1460.7
76561199294900188,Hearts of Iron IV,Strategy & MOBA,549.1
76561199392937659,嗜血印 Bloody Spell,Adult / NSFW,10.2
76561198845467167,Counter-Strike 2,Shooter,1006.5
76561198952741993,7 Days to Die,Survival / Horror,194.7
76561199023165137,Wallpaper Engine,Utility / Software,2789.7
76561199089725887,The Binding of Isaac: Rebirth,Roguelike,475.3
76561198824411982,Dota 2,Strategy & MOBA,344.6
76561198274744170,Cyberpunk 2077,Action / Adventure,1166.7
76561198128242723,FINAL FANTASY XIV Online,MMORPG,3952.9
76561198122008361,The Elder Scrolls V: Skyrim,Action / Adventure,1226.3
76561197987795996,Lost Ark,MMORPG,1504.2
76561199221995961,HELLDIVERS™ 2,Shooter,500.1
76561198025180350,Sid Meier's Civilization V,Strategy & MOBA,1627.9
76561199160918848,Persona 3 Reload,RPG,113.3
76561199217773677,Project Zomboid,Survival / Horror,13422.8
76561199489799337,Corruption of Champions II,Action / Adventure,16.2
76561198367471798,Black Desert (Retired),MMORPG,4113.0
76561198078685539,Counter-Strike 2,Shooter,127.8
76561198308940009,Grand Theft Auto V Legacy,Action / Adventure,1402.8
76561198427791085,Monster Hunter: World,Action / Adventure,363.6
76561198149653019,The Legend of Heroes: Trails in the Sky SC,RPG,179.4
76561198009896777,Dota 2,Strategy & MOBA,5519.0
76561198092271760,The Red Solstice,Strategy & MOBA,1535.1
