user_id,top_game,genre,hours_played
76561198968590765,ARK: Survival Evolved,Survival / Horror,4042.2
76561199020943915,Tom Clancy's Rainbow Six® Siege X,Shooter,189.0
76561197975485567,Black Desert,MMORPG,4450.6
76561198415070023,Rust,Survival / Horror,1047.0
76561198793032503,Counter-Strike 2,Shooter,33.0
76561198310543980,Tom Clancy's Rainbow Six® Siege X,Shooter,1653.4
76561199121956480,Teardown,Action / Adventure,637.5
76561198079448786,Assetto Corsa,Sports & Racing,564.2
76561199212305486,Counter-Strike 2,Shooter,246.0
76561199021031865,Tom Clancy's Rainbow Six® Siege X,Shooter,1170.3
76561198425472568,Counter-Strike 2,Shooter,434.0
76561198297133999,Kerbal Space Program,Simulation,703.5
76561198295505592,Terraria,Survival / Horror,1122.3
76561199276338001,Wallpaper Engine,Utility / Software,196.2
76561198443497098,Terraria,Survival / Horror,1031.3
76561199445942313,Geometry Dash,Casual / Arcade,761.9
76561199807126393,Counter-Strike 2,Shooter,700.2
76561199590857210,Team Fortress 2,Shooter,1134.5
76561198354031760,Counter-Strike 2,Shooter,1162.6
76561199832823356,Counter-Strike 2,Shooter,253.0
76561198005528110,Cyberpunk 2077,Action / Adventure,183.2
76561199180745962,Counter-Strike 2,Shooter,420.7
76561199588916097,Cookie Clicker,Simulation,203.9
76561199229298276,Stardew Valley,Simulation,111.6
76561197996481482,Dota 2,Strategy & MOBA,2275.5
76561198081710908,Counter-Strike 2,Shooter,361.2
76561198253150768,Team Fortress 2,Shooter,575.1
76561199759161071,Counter-Strike 2,Shooter,592.1
76561198175558228,Destiny 2,MMORPG,6042.8
76561198085439342,Counter-Strike 2,Shooter,1676.2
76561199215706254,Team Fortress 2,Shooter,392.1
76561197993277598,Baldur's Gate 3,RPG,404.1
76561198327114325,Hollow Knight,Hardcore Action,70.9
76561198079561476,Dota 2,Strategy & MOBA,2805.4
76561198012564557,Team Fortress 2,Shooter,1724.7
76561197988749662,ARK: Survival Evolved,Survival / Horror,565.5
76561198837615460,People Playground,Simulation,305.6
76561199267905445,Sea of Thieves,Action / Adventure,59.5
76561197965143356,Railroader,Simulation,458.7
76561199508453222,Counter-Strike 2,Shooter,507.5
76561199495808850,Hearts of Iron IV,Strategy & MOBA,1066.4
76561198100708964,Dota 2,Strategy & MOBA,3862.0
76561199102999604,Geometry Dash,Casual / Arcade,80.8
76561197995910589,Counter-Strike 2,Shooter,2351.3
76561199021785595,ELDEN RING,Hardcore Action,387.9
76561198002524497,Arma 3,Shooter,436.7
76561198044032868,Dota 2,Strategy & MOBA,367.7
76561199142909204,The Elder Scrolls V: Skyrim Special Edition,Action / Adventure,88.6
76561199167613476,Crosshair X,Utility / Software,2040.7
76561198430760857,Baldur's Gate 3,RPG,128.1
76561198334333217,Kingdom Come: Deliverance II,RPG,502.6
76561199069521637,V Rising,Survival / Horror,289.0
76561199745817442,Grand Theft Auto V Enhanced,Action / Adventure,296.9
76561199089728902,ELDEN RING,Hardcore Action,177.5
76561199154578778,Phasmophobia,Survival / Horror,43.0
76561199022245766,Team Fortress 2,Shooter,1450.9
76561199047736502,Counter-Strike 2,Shooter,495.1
76561198412396829,Baldur's Gate 3,RPG,324.7
76561199525237361,Garry's Mod,Shooter,188.0
76561199845931014,Counter-Strike 2,Shooter,57.3
76561198795190140,Counter-Strike 2,Shooter,198.2
76561198773737953,Counter-Strike 2,Shooter,97.5
76561198287799833,Grand Theft Auto V Legacy,Action / Adventure,206.3
76561198209459553,Monster Hunter: World,Action / Adventure,1215.9
76561198847834654,The Binding of Isaac: Rebirth,Roguelike,949.1
76561198785440084,Counter-Strike 2,Shooter,463.0
76561199189264859,Terraria,Survival / Horror,423.4
76561199537429327,DARK SOULS™ III,Hardcore Action,216.6
76561198878140347,Stardew Valley,Simulation,3338.9
76561197979916523,The Elder Scrolls V: Skyrim,Action / Adventure,1923.1
76561199817518931,Counter-Strike 2,Shooter,35.7
76561199485476558,Call of Duty®,Shooter,478.0
76561199506442024,Counter-Strike 2,Shooter,7493.1
76561199075069451,Barotrauma,Survival / Horror,505.8
76561199452818988,Baldur's Gate 3,RPG,605.3
76561198364244518,FINAL FANTASY XIV Online,MMORPG,150.9
76561198773901430,Counter-Strike 2,Shooter,56.9
76561197976961748,ARK: Survival Evolved,Survival / Horror,808.0
76561199821594049,Counter-Strike 2,Shooter,271.4
76561198208216240,RimWorld,Simulation,1935.8
76561199179916683,Counter-Strike 2,Shooter,12.2
76561198819824561,ARK: Survival Evolved,Survival / Horror,1751.3
76561198028784867,Rust,Survival / Horror,1591.4
76561199554872684,ELDEN RING,Hardcore Action,171.1
76561199822519772,Counter-Strike 2,Shooter,251.8
